"Module / Domain","Feature / Action","Description & Business Logic","Owner (Business Owner)","City Manager","Supply Manager","Demand Manager","Operations Manager","Operations Executive","Accountant","Workflow Type / Security Controls"
"1. Supply Opportunities","Create Supply Lead","Capture landlord inquiry, contact details, property address, and initial property specifications","Full Access","Full Access (City)","Full Access (Assigned Branch)","No Access","No Access","No Access","No Access","Maker action"
"1. Supply Opportunities","Edit Opportunity & Feasibility","Update BHK, estimated rent, financial model preference, feasibility notes","Full Access","Full Access (City)","Full Access (Assigned Branch)","No Access","No Access","No Access","No Access","Maker action"
"1. Supply Opportunities","Pipeline Stage Progression","Move lead from New -> Feasibility -> Proposal -> MOU Initiated","Full Access","Full Access (City)","Full Access (Assigned Branch)","No Access","No Access","No Access","No Access","Standard workflow"
"1. Supply Opportunities","View Supply Opportunities","View landlord lead list and conversion funnels","Global View","City-wide View","Assigned Branch View","No Access","Cluster Pipeline (Read-Only)","No Access","No Access","Data isolation"
"1. Supply Opportunities","Close Lost / Archive Lead","Mark opportunity as lost with mandatory cancellation reason","Full Access","Full Access (City)","Full Access (Assigned Branch)","No Access","No Access","No Access","No Access","Audit logged"
"2. Owner MOU & KYC","Draft Owner MOU","Draft initial property management contract and set proposed commercial terms","Full Access","Full Access (City)","Full Access (Assigned Branch)","No Access","No Access","No Access","No Access","Maker action"
"2. Owner MOU & KYC","Set Commercial Terms","Configure fee percentage, fixed guarantee or revenue share, and start date","Full Access","Approve Deviations","Standard Policy Limits","No Access","No Access","No Access","Read-Only (Verification)","Maker action"
"2. Owner MOU & KYC","Upload Landlord KYC Documents","Upload PAN, Aadhaar, Cancelled Cheque, Property Tax / Electricity bill","Full Access","Full Access (City)","Full Access (Assigned Branch)","No Access","No Access","No Access","Read-Only (TDS/Tax Audit)","Compliance check"
"2. Owner MOU & KYC","Generate Draft Contract PDF","Render draft MOU document incorporating legal terms and KYC attachments","Full Access","Full Access (City)","Full Access (Assigned Branch)","No Access","No Access","No Access","No Access","Automated document generation"
"2. Owner MOU & KYC","Upload Signed Agreement Copy","Upload scanned or e-signed contract document from property owner","Full Access","Full Access (City)","Full Access (Assigned Branch)","No Access","No Access","No Access","No Access","Maker action"
"2. Owner MOU & KYC","Verify Signed MOU (verifyAgreement)","Legal and KYC compliance verification; locks legal terms permanently","Full Authority","Full Authority (City)","Forbidden (Cannot verify own deal)","No Access","Full Authority (Branch)","No Access","Read-Only","4-Eyes Checker Gate"
"2. Owner MOU & KYC","Cancel / Archive MOU","Cancel MOU and automatically mark linked Opportunity as Closed Lost","Full Authority","Full Authority (City)","Forbidden once generated","No Access","Full Authority (Branch)","No Access","No Access","Audit logged"
"3. Conversion to Property","Convert Verified MOU to Property","Instantiate Property in Draft status, link inventory (Keys), create financial terms","Full Authority","Full Authority (City)","Full Authority (Handoff to Ops)","No Access","Full Authority (Accept into Ops)","No Access","No Access","System Gate (MOU must be Verified)"
"4. Property Onboarding","View Onboarding Queue","Track properties undergoing physical setup, inventory, and photo collection","Global View","City-wide View","Assigned Properties","Read-Only (Pipeline Forecasting)","Assigned Branch View","Assigned Tasks Only","No Access","Data isolation"
"4. Property Onboarding","Room & Bed Layout Configuration","Define units, room types, bed configurations, and floor space","Full Access","Full Access (City)","Full Access (Onboarding)","No Access","Full Access","No Access","No Access","Maker action"
"4. Property Onboarding","Inventory & Fixtures Logging","Add appliances, furniture, keys, fixture counts, and item conditions","Full Access","Full Access (City)","Full Access (Onboarding)","No Access","Full Access","Full Access (On-site Field Log)","No Access","Maker action"
"4. Property Onboarding","Upload Marketing & Verification Photos","Upload room photos, defect images, and floor plans","Full Access","Full Access (City)","Full Access (Onboarding)","No Access","Full Access","Full Access (On-site Field Log)","No Access","Maker action"
"4. Property Onboarding","Utility Submeters & Tariffs","Register submeters (electricity/water), configure tariffs, log opening readings","Full Access","Full Access (City)","Full Access (Onboarding)","No Access","Full Access","Opening Meter Log Only","Read-Only (Billing Setup)","Maker action"
"4. Property Onboarding","Submit for Review (submitForReview)","Submit completed 100% onboarding checklist to management review queue","Full Access","Full Access","Full Access (Maker)","No Access","Full Access","Full Access (Maker)","No Access","Validation Gate (100% Progress Required)"
"4. Property Onboarding","Operate Review Queue (ReviewQueue)","Review uploaded photos, meter readings, inventories, and check quality","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Branch Checker)","No Access","No Access","4-Eyes Checker Gate"
"4. Property Onboarding","Approve & Activate Property","Approve property and transition status from Draft to Vacant (Live for leasing)","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Branch Checker)","No Access","No Access","Final Activation Gate"
"4. Property Onboarding","Request Changes / Revisions","Reject onboarding checklist and return with specific corrective feedback","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Branch Checker)","No Access","No Access","Maker-Checker Revision Loop"
"5. Property Financials Page","Access Property Financials Page","Access /properties/{id}/financials to manage commercial and banking terms","Full Access","Full Access (City)","Read-Only (Terms View)","Forbidden","Read-Only (Terms View)","Forbidden (PII Protection)","Full Functional Access","Strict Role-Based Gate"
"5. Property Financials Page","View Landlord Bank Account Details","View beneficiary name, account number, bank name, and IFSC code","Full Unmasked","Full Unmasked","Masked (Last 4 Digits)","Forbidden","Masked (Last 4 Digits)","Forbidden","Full Unmasked","PII Confidentiality"
"5. Property Financials Page","Push Bank Details to Party Profile","Sync active bank details from MOU directly to owner primary bank account","Full Authority","Full Authority","No Access","No Access","No Access","No Access","Full Authority (Execution)","Fiduciary Action"
"5. Property Financials Page","Initiate Pricing Update MOU","Initiate formal amendment to change fee percentage or financial model","Full Access","Full Access","Draft Initiator","No Access","No Access","No Access","Full Access","Amendment MOU Required"
"5. Property Financials Page","Initiate Bank Details Update MOU","Initiate formal amendment to change owner remittance bank details","Full Access","Full Access","No Access","No Access","No Access","No Access","Full Access (Primary Operator)","Signed Owner Proof Required"
"5. Property Financials Page","Verify & Apply Financial Amendments","Verify signed amendment MOU and commit new pricing/bank terms to ledger","Full Authority","Full Authority (City)","No Access","No Access","No Access","No Access","Full Authority (Checker)","Dual Sign-off Required"
"6. Property Data Changes","Edit Basic Info (Building, Address)","Update building name or street address once property is Live/Active","Full Access","Full Access (Justification)","No Access (Post-Live)","No Access","Full Access (Justification)","No Access","No Access","Restricted once Active"
"6. Property Data Changes","Change City or Branch Assignment","Reassign property to another city or branch jurisdiction","Full Authority","Forbidden (Cross-City)","Forbidden","No Access","Forbidden","No Access","Forbidden","Owner Only (Prevents Ledger Dislocation)"
"6. Property Data Changes","Modify Room / Bed Counts (Live)","Add or remove rooms/beds on active property","Full Access","Full Access","No Access","No Access","Allowed ONLY on Vacant Units","No Access","No Access","Integrity Check (Blocked if Active Lease)"
"6. Property Data Changes","Update Inventories / Fixtures (Live)","Add new assets, write off damaged assets, or replace appliances","Full Access","Full Access","No Access","No Access","Approve Additions / Disposals","Log Damage / Wear & Tear","No Access","Audit Trailed"
"6. Property Data Changes","Update Utility Tariffs (Live)","Change per-unit rate for submeter electricity or water","Full Access","Full Access","No Access","No Access","Full Access","No Access","Review & Approve","Tariff Versioning (No Retroactive Recalc)"
"6. Property Data Changes","Log Monthly Submeter Readings","Enter monthly meter closing readings for utility billing generation","Full Access","Full Access","No Access","No Access","Review & Correct","Log Field Readings","Review for Invoicing","Operational Execution"
"6. Property Data Changes","Change Status -> Maintenance Hold","Place active property temporarily on hold for major refurbishment","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Branch)","No Access","No Access","Operational Gate"
"6. Property Data Changes","Archive / Decommission Property","Deactivate property permanently from active fleet","Full Authority","Full Authority (City)","No Access","No Access","Forbidden","No Access","No Access","Gated (0 Active Leases & 0 Ledger Balance)"
"7. Demand & Tenant Leads","Create & Manage Tenant Leads","Log tenant inquiries, budget, preferred move-in date, and requirements","Full Access","Full Access (City)","No Access","Full Access (Primary Maker)","No Access","No Access","No Access","Maker action"
"7. Demand & Tenant Leads","Schedule & Log Property Viewings","Coordinate on-site property walkthroughs with prospective tenants","Full Access","Full Access (City)","No Access","Full Access","View Calendar","Conduct Assigned Viewing","No Access","Operational Coordination"
"7. Demand & Tenant Leads","Tenant KYC & Screening Intake","Collect tenant identity documents, employment proof, and verify risk score","Full Access","Full Access (City)","No Access","Full Access (Reviewer)","No Access","No Access","Read-Only (Verification)","Compliance check"
"8. Tenancy Agreements","Draft Tenancy Agreement (TA-XXXX)","Draft rental contract, select tenant party, define rent, deposit, and lock-in","Full Access","Full Access (City)","No Access","Full Access (Primary Maker)","Read-Only","No Access","Read-Only","Maker action"
"8. Tenancy Agreements","Set Agreement Commercial Terms","Specify monthly rent, maintenance surcharge, security deposit, notice period","Full Access","Approve Concessions","No Access","Within Standard Policies","No Access","No Access","Read-Only","Policy Bound"
"8. Tenancy Agreements","Secondary Tenants / Occupants","Register co-tenants, roommates, and upload secondary KYC documents","Full Access","Full Access (City)","No Access","Full Access","Read-Only","Verify Physical IDs","No Access","Maker action"
"8. Tenancy Agreements","Generate Contract PDF / DOCX","Compile legally binding tenancy agreement document","Full Access","Full Access (City)","No Access","Full Access","No Access","No Access","No Access","Automated document generation"
"8. Tenancy Agreements","Activate Agreement & Handover","Mark agreement active upon deposit receipt and key handover confirmation","Full Authority","Full Authority (City)","No Access","Full Authority (Upon Clearance)","Notification Only","Handover Keys Confirmation","Full Authority (Deposit Cleared)","Dual Gate (Deposit Cleared + Key Handover)"
"8. Tenancy Agreements","Lease Renewals & Rent Escalations","Negotiate lease extension, apply annual escalation rate, update terms","Full Access","Full Access (City)","No Access","Full Access (Primary Maker)","Notification Only","No Access","Update Billing Schedule","Standard workflow"
"9. Field Audits & Inspections","View Inspection Queue","Manage schedule of move-in, move-out, and periodic property audits","Full Access","Full Access (City)","No Access","No Access","Full Access (Dispatch)","Claim & Inspect Assigned","No Access","Data isolation"
"9. Field Audits & Inspections","Execute Move-In Baseline Audit","Conduct comprehensive on-site condition audit before tenant possession","Full Access","Full Access (City)","No Access","No Access","Review & Approve","Execute on Field Tablet","No Access","Field Execution"
"9. Field Audits & Inspections","Photo Defect Annotation (Canvas)","Upload room photos and draw defect callouts using annotation editor","Full Access","Full Access (City)","No Access","No Access","Review Annotations","Draw & Save Defects","No Access","Evidence Collection"
"9. Field Audits & Inspections","Submit Audit for Review","Submit field inspection findings to operations manager review queue","Full Access","Full Access (City)","No Access","No Access","No Access","Full Access (Maker)","No Access","Maker action"
"9. Field Audits & Inspections","Operate Audit Review Queue","Audit submitted defect logs, verify photo thresholds, request revisions","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Branch Checker)","No Access","No Access","4-Eyes Checker Gate"
"9. Field Audits & Inspections","Seal / Lock Audit Baseline","Permanently seal audit baseline so items cannot be altered retroactively","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Final Seal)","Forbidden","No Access","Cryptographic Integrity"
"9. Field Audits & Inspections","Periodic / Surprise Audits","Conduct spot inspections on active properties to detect unauthorized subletting","Full Access","Full Access (City)","No Access","No Access","Dispatch & Review","Execute On-site","No Access","Field Execution"
"10. Maintenance & Work Orders","Log Maintenance Ticket","Report repair issue, tag unit, select category (Plumbing, Electrical, Carpentry)","Full Access","Full Access (City)","No Access","Log on Tenant Behalf","Full Access","Log Ticket in Field","No Access","Maker action"
"10. Maintenance & Work Orders","Fault Attribution Tagging","Determine legal responsibility: Tenant Fault, Owner Wear & Tear, or Dwelly Absorbed","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Decision Maker)","Report Suspected Cause","Read-Only (Billing Impact)","Liability Determination"
"10. Maintenance & Work Orders","Collect Vendor Quotations","Input contractor estimates, labor charges, and spare parts breakdown","Full Access","Full Access (City)","No Access","No Access","Full Access","Collect & Upload Quote","Review for AP Accrual","Maker action"
"10. Maintenance & Work Orders","Apply Company Margin Rate","Apply internal markup margin to calculate customer-quoted price","Full Access","Full Access","No Access","No Access","Apply Margin Policy","FORBIDDEN (Hidden Margin)","Review Gross Profit","Confidentiality Protection"
"10. Maintenance & Work Orders","Issue Work Order (WO-XXXX)","Authorize vendor to begin repair work on property","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Issuance)","Supervise Execution","Read-Only (Accrual)","Financial Commitment Gate"
"10. Maintenance & Work Orders","Supervise Repair & Proof Upload","Inspect physical repair work and upload before/after photographic proof","Full Access","Full Access (City)","No Access","No Access","Review Proof","On-site Proof Capture","No Access","Field Execution"
"10. Maintenance & Work Orders","Verification Audit & Sign-off","Verify quality of repair, sign off job completion, approve vendor bill","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Sign-off)","Assist Inspection","Full Authority (Clear for AP)","Payment Release Gate"
"11. Operations Tasks","Configure Task Templates","Create recurring checklists (Smoke detector check, Deep cleaning, Key audit)","Full Access","Full Access (City)","No Access","No Access","Full Access","No Access","No Access","Master Configuration"
"11. Operations Tasks","Dispatch & Assign Daily Tasks","Assign routine tasks to field executives based on geographic clusters","Full Access","Full Access (City)","No Access","No Access","Full Access (Dispatcher)","No Access","No Access","Resource Allocation"
"11. Operations Tasks","Execute Checklist Tasks","Complete assigned checklist items and submit timestamped verification","Full Access","Full Access (City)","No Access","No Access","Review Completion","Execute & Complete","No Access","Field Execution"
"12. Deboarding & Settlement","Initiate Deboarding Notice","Record tenant intent to vacate, scheduled exit date, and forwarding address","Full Access","Full Access (City)","No Access","Full Access","Full Access","No Access","Read-Only (Forecast Settlement)","Notice Period Gated"
"12. Deboarding & Settlement","Execute Move-Out Exit Audit","Inspect property condition and compare automatically against Move-In baseline","Full Access","Full Access (City)","No Access","No Access","Review Comparison","Execute Field Audit","No Access","Baseline Comparison Engine"
"12. Deboarding & Settlement","Calculate Damage Deductions","Assess repair costs for tenant damages exceeding normal wear and tear","Full Access","Full Access (City)","No Access","No Access","Full Access (Maker)","Provide Evidence Only","Audit Balance Calculation","Deduction Assessment"
"12. Deboarding & Settlement","Physical Key Handover & Closing Meter","Collect keys and record final electricity/water meter readings on exit day","Full Access","Full Access (City)","No Access","No Access","Confirm Handover","Physical Collection","Read-Only (Final Utility Bill)","Possession Transfer Gate"
"12. Deboarding & Settlement","Draft Deboarding Settlement Sheet","Consolidate unpaid rent, utility split, damages, and net refund balance","Full Access","Full Access (City)","No Access","No Access","Full Access (Maker)","No Access","Full Access (Reviewer)","Maker action"
"12. Deboarding & Settlement","Approve Settlement Sheet","Formal approval of final deductions and refund amount","Full Authority","Full Authority (City)","No Access","No Access","Full Authority (Ops Checker)","No Access","Full Authority (Finance Checker)","Dual Ops-Finance Checker Gate"
"12. Deboarding & Settlement","Disburse Security Deposit Refund","Release net deposit balance from escrow account to tenant bank account","Full Authority","Forbidden","No Access","No Access","No Access","No Access","Full Authority (Bank Disbursement)","Fiduciary Disbursement Gate"
"13. Billing & Collections","Access Financial Operations Hub","Access centralized hub for deposits, receivables, payables, and owner advances","Full Access","Read-Only (City)","No Access","No Access","Read-Only (Receivables)","No Access","Full Functional Access","Finance Central Panel"
"13. Billing & Collections","Bulk Generate Monthly Rent Demands","Batch-run monthly rent invoices including utility splits and maintenance charges","Full Authority","Read-Only (Summary)","No Access","No Access","No Access","No Access","Full Authority (Execution)","Automated Billing Engine"
"13. Billing & Collections","Prorated Rent Calculation","Calculate partial month rent for mid-month move-ins or move-outs","Full Access","Read-Only","No Access","Read-Only Breakdown","No Access","No Access","Full Access (Audit / Adjust)","Proration Formula Verified"
"13. Billing & Collections","Record Tenant Rent Receipts","Reconcile bank statements, gateway webhooks, and post receipts against tenant AR","Full Access","Read-Only","No Access","No Access","No Access","No Access","Full Access (Bank Recon)","Cash Management"
"13. Billing & Collections","Record Security Deposit Placement","Post initial security deposit collection into designated escrow liability ledger","Full Access","Read-Only","No Access","No Access","No Access","No Access","Full Access (Escrow Posting)","Fiduciary Segregation"
"13. Billing & Collections","Record Vendor Bill Payments","Post payments to maintenance contractors and material suppliers","Full Authority","Approve (Under Limit)","No Access","No Access","Confirm Work Done","No Access","Full Authority (Disburse)","Dual Authorization"
"13. Billing & Collections","Record Owner Advance Payments","Issue emergency maintenance advance or rent advance to property owner","Full Authority","Approve (Under Limit)","No Access","No Access","No Access","No Access","Full Authority (Post to Ledger)","Owner Advance Ledger Tracked"
"14. Owner Payout Engine","Calculate Bulk Owner Payouts","Run monthly net payout formula: Rent - Commission - Maintenance - Advances","Full Authority","Read-Only (City Overview)","No Access","No Access","No Access","No Access","Full Authority (Execution)","Payout Engine"
"14. Owner Payout Engine","Place / Release Payout Holds","Freeze owner disbursement due to unconfirmed rent, open disputes, or legal notice","Full Authority","Full Authority (City)","No Access","No Access","Flag Open Dispute","No Access","Full Authority (Flag / Hold)","Risk Mitigation Gate"
"14. Owner Payout Engine","Validate Commission Deductions","Verify management fee percentage matches active MOU terms","Full Access","Read-Only","Verify Sourced Deals","No Access","No Access","No Access","Full Access (Ledger Audit)","Contractual Reconciliation"
"14. Owner Payout Engine","Manage Maintenance Reserve Retentions","Retain or release agreed float reserve for ongoing repairs","Full Authority","Full Authority (City)","No Access","No Access","Recommend Reserve Size","No Access","Full Authority (Retain/Release)","Working Capital Governance"
"14. Owner Payout Engine","Batch Disburse Net Payouts (NEFT)","Execute batch bank payouts to property owners","Full Authority (Release)","Approve (City Limit)","No Access","No Access","No Access","No Access","Full Authority (Bank Batch)","Bank Disbursement Gate"
"14. Owner Payout Engine","Generate Owner Monthly Statement PDF","Generate comprehensive monthly breakdown PDF for property owners","Full Access","Read-Only (City)","Read-Only","No Access","No Access","No Access","Full Access (Generate/Send)","Automated Reporting"
"15. Double-Entry Accounting","Access Accounting Panel (/accounting)","Access dedicated double-entry financial panel and reporting suite","Full Access","Read-Only (City P&L)","Forbidden","Forbidden","Forbidden","Forbidden","Full Functional Access","Role-Restricted Panel"
"15. Double-Entry Accounting","Manage Chart of Accounts (CoA)","Add/configure asset, liability, equity, revenue, and expense ledgers","Full Authority","Read-Only","No Access","No Access","No Access","No Access","Full Authority (Manage CoA)","Accounting Integrity"
"15. Double-Entry Accounting","Post Manual Journal Entries","Post adjustments, accruals, depreciation, and correction vouchers","Full Authority","Read-Only","No Access","No Access","No Access","No Access","Full Authority (Maker-Checker)","Maker-Checker Required"
"15. Double-Entry Accounting","Bank Account Configuration & Recon","Configure corporate bank accounts, import feeds, and reconcile entries","Full Authority","No Access","No Access","No Access","No Access","No Access","Full Authority (Reconciliation)","Internal Controls"
"15. Double-Entry Accounting","GST Compliance & Tax Reports","Generate GSTR-1, tax invoices, TDS on rent reports, and ITC ledgers","Full Access","Read-Only (City)","No Access","No Access","No Access","No Access","Full Access (Tax Filing)","Statutory Compliance"
"15. Double-Entry Accounting","Financial Statements (P&L, Balance Sheet)","View multi-branch Profit & Loss, Balance Sheet, and Trial Balance","Full Enterprise View","City P&L View","No Access","No Access","No Access","No Access","Full Financial Access","Executive Reporting"
"16. Administration & Masters","User Management & Staff Profiles","Create staff user accounts, update profile details, and toggle active status","Full Authority","Create Field Staff","No Access","No Access","No Access","No Access","No Access","User Administration"
"16. Administration & Masters","Role & Permission Assignment","Assign Spatie roles and permissions to system users","Full Authority (Owner Only)","No Access","No Access","No Access","No Access","No Access","No Access","Security Governance"
"16. Administration & Masters","Branch & City Geographic Setup","Define cities, districts, localities, branches, and GST registrations","Full Authority","Read-Only (Own City)","No Access","No Access","No Access","No Access","No Access","Master Data"
"16. Administration & Masters","Financial Models & Masters Setup","Define pricing models, property types, BHK configurations, amenity types","Full Authority","Read-Only","No Access","No Access","No Access","No Access","Read-Only (Review)","Configuration Management"
"16. Administration & Masters","Security & Audit Trail Logs","Inspect activitylog records tracking all user actions and data mutations","Full Global Access","City Staff Audit","No Access","No Access","No Access","No Access","Financial Log Audit","Accountability & Forensic Audit"
